System,Bond num,Mean bond len diff (nm),Mean bond len diff unc (a=0.05),Bond length cutoff (nm),P > cutoff diff,P > cutoff diff unc (a=0.05)
bo4-RRSSRS,1,-0.00020642564575698572,0.00019872853203983999,0.16338015019893645,-0.0011849093338401253,0.0010779427018558774
bo4-RRSSRS,2,-5.789352695176331e-05,0.0002642055744958052,0.16374081373214722,-0.00022111510086649658,0.000889518401878593
bo4-RRSSRS,3,1.3368763737753309e-05,9.703681391922137e-05,0.15663014352321625,-3.579387139778824e-05,0.0006822359151569697
bo4-RRSSRS,4,-0.00013083040155079106,0.00026251974319491366,0.14863716065883634,-0.0007298747415864401,0.0011730549798078672
bo4-RRSSRS,5,7.057027902426793e-05,0.00032350315877103814,0.1632479727268219,0.00045152545778186394,0.001444522767003574
bo4-RRSSRS,6,0.00016941200266348821,0.00023446817131217201,0.16377411782741547,0.0008584557125586727,0.0017165462420161664
bo4-RRSSRS,7,0.00020229618639272526,0.0001065208062548698,0.1565440785884857,0.0016280859819473616,0.0007531590709964643
bo4-RRSSRS,8,-1.812132496051277e-05,0.00025426553786897114,0.14850277125835418,-0.00018939508830350006,0.0013297741851026007
bo4-RRSSRS,9,8.79942436991521e-05,0.00017346688133091767,0.16297858953475952,0.000768956320273715,0.001160959940502037
bo4-RRSSRS,10,-0.00024065788451027584,0.00031205348279015764,0.163969486951828,-0.001392657364313125,0.0017747361237825804
bo4-RRSSRS,11,-9.119163832324584e-05,8.373450026924872e-05,0.1566174477338791,-0.0007186474638160249,0.0007160855670796076
bo4-RRSSRS,12,-3.5418155865635244e-05,0.0001855781409634242,0.1484050303697586,-0.0002692446045790501,0.0010309205401567779
bo4-RRRSRS,1,-6.088268559345522e-05,0.0002081906553307437,0.16325752839446067,-7.71721327143763e-05,0.0013050783745847153
bo4-RRRSRS,2,9.056311908275938e-05,0.00023051069260278343,0.16378653049468994,0.0008902674859197856,0.0015972204856185151
bo4-RRRSRS,3,-3.279251789806148e-05,0.0001129989272900056,0.156620591878891,-0.0001834884790173057,0.0005416565071791077
bo4-RRRSRS,4,-0.00020295018006633025,0.00014922099888784327,0.1487314999103546,-0.001180325055802383,0.0008148656490839822
bo4-RRRSRS,5,-0.00019937408029954692,0.00017834230198527482,0.1631135791540146,-0.0013283263645209426,0.001101218827535483
bo4-RRRSRS,6,4.95769040203542e-05,0.0002156109203539688,0.16378360986709595,0.0003074795570432321,0.0016119381836804903
bo4-RRRSRS,7,-7.491196895939578e-05,6.929617047662974e-05,0.15663333237171173,-0.0006815574504453886,0.0005395824790376157
bo4-RRRSRS,8,-0.00014522784021483992,0.0002047931080954188,0.14852951467037198,-0.0009729777208070703,0.001180059603527301
bo4-RRRSRS,9,0.0002852285930947662,0.0002396149658645816,0.1631533056497574,0.0019832231484718608,0.0014630283483286215
bo4-RRRSRS,10,0.00023944735718420262,0.0002091726081968281,0.16364266380667686,0.0014980417936087886,0.001201779532580179
bo4-RRRSRS,11,8.160573591156628e-05,0.00021292565827834694,0.15665891766548154,0.000582461679615405,0.0006778428910703901
bo4-RRRSRS,12,2.7809813325230252e-06,0.00023192530952458488,0.14849244058132172,1.4918664391077792e-05,0.0012465828644229375
b5,1,-0.00040522280227328617,0.0002076064474256896,0.16332493722438812,-0.0022949210874685664,0.0011185851726827564
b5,2,-3.7258987322402744e-05,0.00018200070068608395,0.1635940819978714,-1.942229656193284e-05,0.001192861856555706
b5,3,3.538416544887624e-05,8.621057706137499e-05,0.15654407441616058,0.0002956119328710368,0.0007167523507018133
b5,4,-9.595996177075294e-05,0.0002236350724516982,0.14846480846405016,-0.00042862751109133847,0.0012653753647695414
b5,5,-0.0003900634403952163,0.00024805679595889165,0.16211427748203278,-0.0022387940465518974,0.0013836787990857836
b5,6,0.00035469543764282685,0.00019095992573444086,0.16570395231246948,0.002706049712530313,0.001117816238352683
b5,7,5.435363150976813e-05,9.942780828586904e-05,0.15989060699939728,0.00023466931771258878,0.0006096065065101361
b5,8,0.00011058605917255158,5.950619834222952e-05,0.14689798653125766,0.0009255086810057713,0.0005396200493655191
b5,9,-0.00010166257016031022,6.943340268537381e-05,0.14663240313529968,-0.0006583406863495887,0.0005179769313634425
b5,10,-0.0001377066281893491,7.869416305088481e-05,0.15456709265708926,-0.0009855393585100347,0.0005810030301291977
b5,11,-2.9458717881847285e-05,0.0003375023339938805,0.16355091333389282,-1.5955972171296382e-05,0.0014660550495916018
b5,12,6.052384637050823e-06,0.00023608219701085268,0.16375894844532013,0.00013098561155241648,0.001576746421529577
b5,13,-7.791582221081117e-05,0.0002513289885389447,0.15669408857822414,-0.000654999304580078,0.0008720471303662168
b5,14,-8.460930493559006e-06,0.00024510504282119084,0.148478701710701,-3.88155208968545e-06,0.001256294170712439
